07/04/2026,-11.8,Blue Ember Cafe Riverton NS AUS Card xx5931 Value Date: 05/04/2026,852.91
07/04/2026,-38.6,FreshBasket Grocers Riverton NS AUS Card xx5931 Value Date: 05/04/2026,864.71
07/04/2026,95,Fast Transfer From ARMAN QURESHI to PayID Phone Food split,903.31
06/04/2026,-7.2,QuickFuel Stop Riverton NS AUS Card xx5931 Value Date: 04/04/2026,808.31
06/04/2026,-19.4,RideNow Transport Sydney NS AUS Card xx5931 Value Date: 04/04/2026,815.51
06/04/2026,-70,Transfer To LUCAS REID CommBank App Rent share,834.91
05/04/2026,880,Salary Payment Orion Digital Services Salary,904.91
05/04/2026,-21.3,DailyMart Supplies Riverton NS AUS Card xx5931 Value Date: 03/04/2026,24.91
05/04/2026,-6.75,PetroLine Station Ryde NS AUS Card xx5931 Value Date: 03/04/2026,46.21
04/04/2026,-110,Transfer To MAYA SINGH PayID Phone Utilities,52.96
04/04/2026,-4.1,Juice Junction Mallside NS AUS Card xx5931 Value Date: 02/04/2026,162.96
04/04/2026,40,Fast Transfer From ETHAN COLE to PayID Phone Lunch,167.06
03/04/2026,-13.9,Spice Trail Kitchen Midtown NS AUS Card xx5931 Value Date: 01/04/2026,127.06
03/04/2026,-3.1,MiniStop Express Ryde NS AUS Card xx5931 Value Date: 01/04/2026,140.96
03/04/2026,55,Fast Transfer From NINA PATEL to PayID Phone Movies,144.06
02/04/2026,-28,Transfer To OLIVER TAN CommBank App Groceries,89.06
02/04/2026,-12.99,StreamFlix Online SYD NS AUS Card xx5931 Value Date: 31/03/2026,117.06
02/04/2026,-16.45,ValueFoods Market Ryde NS AUS Card xx5931 Value Date: 31/03/2026,130.05
01/04/2026,-33.5,CornerStore Essentials Ryde NS AUS Card xx5931 Value Date: 30/03/2026,146.5
01/04/2026,180,Fast Transfer From HAMZA RAHMAN to PayID Phone Loan return,180
